name,institution,homepage,scholarid,region,country
Hani Girgis,University of Tulsa,https://faculty.utulsa.edu/~/hani-girgis,NOSCHOLARPAGE,north america,us
Hani Hagras,University of Essex,https://www.essex.ac.uk/people/hagra01400/hani-hagras,ZZ61SZwAAAAJ,europe,gb
Hanieh Shakeri,Dalhousie University,https://www.calmlab.ca,iriAIgsAAAAJ,north america,ca
Hanif Rahbari,Rochester Institute of Technology,https://www.rit.edu/gccis/computingsecurity/people/hanif-rahbari,0lhBjI4AAAAJ,north america,us
Hanjie Chen,Rice University,https://profiles.rice.edu/faculty/hanjie-chen,DyYOgLwAAAAJ,north america,us
Hanjun Kim 0001,Yonsei University,http://corelab.yonsei.ac.kr/~hanjun,rdQ5AokAAAAJ,asia,kr
Hank Childs,University of Oregon,https://www.cs.uoregon.edu/People/Faculty/Hank_Childs.php,1SJPBDAAAAAJ,north america,us
Hank Hoffmann,University of Chicago,http://people.cs.uchicago.edu/~hankhoffmann,COjq9XUAAAAJ,north america,us
Hank Jayne,University of South Florida,http://www.csee.usf.edu/~zheng,BT95LeMAAAAJ,north america,us
Hank Korth,Lehigh University,http://www.cse.lehigh.edu/~korth,4VLZdawAAAAJ,north america,us
Hanna Hajishirzi,University of Washington,http://ssli.ee.washington.edu/~hannaneh,LOV6_WIAAAAJ,north america,us
Hanna Kurniawati,Australian National University,https://cs.anu.edu.au/people/hanna-kurniawati,JkjFXbAAAAAJ,australasia,au
Hanna Suominen,Australian National University,https://cs.anu.edu.au/people/hanna-suominen,o4qymo4AAAAJ,australasia,au
Hannah Bast,University of Freiburg,https://ad.informatik.uni-freiburg.de/staff/bast,hqSjLE8AAAAJ,europe,de
Hannah Dee,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/hmd1,qu8qeygAAAAJ,europe,gb
Hannah Kerner,Arizona State University,https://search.asu.edu/profile/2608200,g5CD7dQAAAAJ,north america,us
Hannah M. Dee,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/hmd1,qu8qeygAAAAJ,europe,gb
Hannah Mary Dee,Aberystwyth University,https://www.aber.ac.uk/en/cs/staff-profiles/listing/profile/hmd1,qu8qeygAAAAJ,europe,gb
Hannah Rae Kerner,Arizona State University,https://search.asu.edu/profile/2608200,g5CD7dQAAAAJ,north america,us
Hannaneh Hajishirzi,University of Washington,http://ssli.ee.washington.edu/~hannaneh,LOV6_WIAAAAJ,north america,us
Hanne Riis Nielson,DTU,https://www.compute.dtu.dk/english,NOSCHOLARPAGE,europe,dk
Hanne Westh Nicolajsen,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/hanne-westh-nicolajsen(54728da8-274d-40e6-b119-23318d995721).html,EwNAdV8AAAAJ,europe,dk
Hannes Federrath,University of Hamburg,https://www.inf.uni-hamburg.de/inst/ab/snp/team/federrath.html,NOSCHOLARPAGE,europe,de
Hannes Frey,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/de/koblenz/fb4/ifi/AGFrey/personen/hannes-frey,NOSCHOLARPAGE,europe,de
Hannes Hartenstein,Karlsruhe Institute of Technology,http://dsn.tm.kit.edu/staff_hartenstein.php,azfXSVIAAAAJ,europe,de
Hannes Kaufmann,TU Wien,https://www.ims.tuwien.ac.at/people/hannes-kaufmann,d1_5fIIAAAAJ,europe,at
Hannes Mühleisen,CWI,https://www.cwi.nl/people/2600,lBF-mDAAAAAJ,europe,nl
Hannes Werthner,TU Wien,http://www.ec.tuwien.ac.at/~werthner,XBd3IdIAAAAJ,europe,at
Hanno Lefmann,TU Chemnitz,https://www.tu-chemnitz.de/informatik/ThIS/site/personal.php,NOSCHOLARPAGE,europe,de
Hanno Nickau,University of Oxford,http://www.cs.ox.ac.uk/people/hanno.nickau,NOSCHOLARPAGE,europe,gb
Hannu Toivonen,University of Helsinki,https://www.helsinki.fi/en/researchgroups/computational-creativity-and-data-mining/hannu-toivonen,izZX-EEAAAAJ,europe,fi
Hannu-Matti Järvinen,Tampere University,https://www.tuni.fi/en/hannu-matti-jarvinen,ub6mNMIAAAAJ,europe,fi
Hanoch Levy,Tel Aviv University,http://www.math.tau.ac.il/~hanoch,NOSCHOLARPAGE,europe,il
Hanpin Wang,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6063,NOSCHOLARPAGE,asia,cn
Hanqi Guo 0001,Ohio State University,https://hguo.github.io,JKuWIYAAAAJ,north america,us
Hanqi Zhuang,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/zhuang,GaLP1jkAAAAJ,north america,us
Hanqiu Sun,Chinese University of Hong Kong,http://www.cse.cuhk.edu.hk/~hanqiu,ezvIdPEAAAAJ,asia,hk
Hanrui Zhang 0001,Chinese University of Hong Kong,https://hanruizha.github.io,vzr_L0EAAAAJ,asia,hk
Hans Akkermans,VU Amsterdam,http://www.cs.vu.nl/~hansa,tRT8oQYAAAAJ,europe,nl
Hans C. Breiter,University of Cincinnati,https://researchdirectory.uc.edu/p/breitehs,kR1oGZAAAAAJ,north america,us
Hans Dieter Rombach,TU Kaiserslautern,http://wwwagse.informatik.uni-kl.de/staff/rombach,OpsrHLAAAAAJ,europe,de
Hans Gellersen,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/hans-gellersen,wmpvU_YAAAAJ,europe,gb
Hans Hagen,TU Kaiserslautern,https://hci.uni-kl.de/people/hans-hagen,g0dxfJMAAAAJ,europe,de
Hans Hallez,KU Leuven,https://distrinet.cs.kuleuven.be/people/hans,CWF_wV8AAAAJ,europe,be
Hans Henrik Løvengreen,DTU,https://www.compute.dtu.dk/english,NOSCHOLARPAGE,europe,dk
Hans Hüttel,Aalborg University,http://people.cs.aau.dk/~hans/index-eng.html,Wf7-agQAAAAJ,europe,dk
Hans Jörg Müller,University of Bayreuth,https://www.ai8.uni-bayreuth.de/de/team/Joerg-Mueller/index.php,RdvLNP4AAAAJ,europe,de
Hans Lobel,Pontificia Universidad Catolica de Chile,https://www.ing.uc.cl/academicos-e-investigadores/hans-albert-lobel-diaz,oKYALakAAAAJ,southamerica,cl
Hans Löbel,Pontificia Universidad Catolica de Chile,https://www.ing.uc.cl/academicos-e-investigadores/hans-albert-lobel-diaz,oKYALakAAAAJ,southamerica,cl
Hans Michael Gerndt,TU Munich,http://wwwi10.lrr.in.tum.de/~gerndt/home,NOSCHOLARPAGE,europe,de
Hans P. Reiser,University of Passau,http://www.fim.uni-passau.de/en/sis,yR6ZjJsAAAAJ,europe,de
Hans Peter Reiser,University of Passau,http://www.fim.uni-passau.de/en/sis,yR6ZjJsAAAAJ,europe,de
Hans Raj Tiwary,Charles University,https://kam.mff.cuni.cz/~hansraj,RrFLTRYAAAAJ,europe,cz
Hans Tompits,TU Wien,http://www.kr.tuwien.ac.at/staff/tompits,8MkHO0UAAAAJ,europe,at
Hans Vandierendonck,Queen's University Belfast,https://www.qub.ac.uk/schools/eeecs/Connect/Staff/BusinessCard/?name=h.vandierendonck,7e8zXI8AAAAJ,europe,gb
Hans Vangheluwe,University of Antwerp,https://www.uantwerpen.be/en/staff/hans-vangheluwe,DhPe1j4AAAAJ,europe,be
Hans W. Guesgen,Massey University,http://seat.massey.ac.nz/h.w.guesgen,QwXZ99YAAAAJ,australasia,nz
Hans Werner Guesgen,Massey University,http://seat.massey.ac.nz/h.w.guesgen,QwXZ99YAAAAJ,australasia,nz
Hans Zantema,TU Eindhoven,http://www.win.tue.nl/~hzantema,W0DPmVQAAAAJ,europe,nl
Hans de Nivelle,University of Wroclaw,http://www.ii.uni.wroc.pl/~nivelle,elLTSysAAAAJ,europe,pl
Hans van Halteren,Radboud University,https://www.ru.nl/english/people/halteren-b-van,P9rTRQkAAAAJ,europe,nl
Hans van Vliet,VU Amsterdam,http://www.cs.vu.nl/~hans,4YAdfEsAAAAJ,europe,nl
Hans-Arno Jacobsen,TU Munich,https://www.professoren.tum.de/en/jacobsen-hans-arno,85bt-X0AAAAJ,europe,de
Hans-Christian Jetter,University of Lübeck,https://www.imis.uni-luebeck.de/de/institut/team/hans-christian-jetter,KJ10IE0AAAAJ,europe,de
Hans-Georg Fill,University of Fribourg,https://www.unifr.ch/inf/digits/en/group/team/fill.html,gsNTde8AAAAJ,europe,ch
Hans-Gert Penzel,University of Regensburg,https://www.uni-regensburg.de/wirtschaftswissenschaften/wi-penzel/startseite/index.html,NOSCHOLARPAGE,europe,de
Hans-Joachim Backe,IT University of Copenhagen,https://pure.itu.dk/portal/en/persons/hansjoachim-backe(44c88dce-966d-46f3-88a8-2014e39197b9).html,NOSCHOLARPAGE,europe,dk
Hans-Joachim Bungartz,TU Munich,http://www5.in.tum.de/wiki/index.php/Univ.-Prof._Dr._Hans-Joachim_Bungartz,NOSCHOLARPAGE,europe,de
Hans-Joachim Wunderlich,University of Stuttgart,http://www.iti.uni-stuttgart.de/en/chairs/computer-architecture/people/hans-joachim-wunderlich.html,SVXONrAAAAAJ,europe,de
Hans-Jörg Schulz,Aarhus University,https://cs.au.dk/~hjschulz,FJKZr4sAAAAJ,europe,dk
Hans-Knud Arndt,University of Magdeburg,http://bauhaus.cs.uni-magdeburg.de/cms/index,NOSCHOLARPAGE,europe,de
Hans-Peter Bischof,Rochester Institute of Technology,https://www.cs.rit.edu/~hpb,NOSCHOLARPAGE,north america,us
Hans-Peter Kriegel,LMU Munich,http://www.dbs.ifi.lmu.de/cms/personen/professoren/kriegel/index.html,DBf9LC4AAAAJ,europe,de
Hans-Peter Lenhof,Saarland University,https://www.bioinf.uni-sb.de/people/prof-dr-hans-peter-lenhof.html,yLUE8lkAAAAJ,europe,de
Hans-Peter Seidel [INF],Max Planck Society,https://www.mpi-inf.mpg.de/~hpseidel,s2Ibok8AAAAJ,europe,de
Hans-Siegfried Stiehl,University of Hamburg,https://www.inf.uni-hamburg.de/de/inst/ab/bv/team/stiehl.html,NOSCHOLARPAGE,europe,de
Hans-Ulrich Heiss,TU Berlin,https://www.kbs.tu-berlin.de/menue/personen/prof_dr_hans-ulrich_heiss,NOSCHOLARPAGE,europe,de
Hans-Ulrich Heiß,TU Berlin,https://www.kbs.tu-berlin.de/menue/personen/prof_dr_hans-ulrich_heiss,NOSCHOLARPAGE,europe,de
Hans-Ulrich Prokosch,University of Erlangen–Nuremberg,https://www.imi.med.fau.de/team/prof-dr-hans-ulrich-prokosch,NOSCHOLARPAGE,europe,de
Hans-Werner Gellersen,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/hans-gellersen,wmpvU_YAAAAJ,europe,gb
Hans-Werner Güsgen,Massey University,http://seat.massey.ac.nz/h.w.guesgen,QwXZ99YAAAAJ,australasia,nz
Hans-Wolfgang Loidl,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/hans-wolfgang-loidl.htm,lwb1Va0AAAAJ,europe,gb
Hansen Andrew Schwartz,Stony Brook University,http://www3.cs.stonybrook.edu/~has,Na16PsUAAAAJ,north america,us
Hansenclever F. Bassani,UFPE,https://www.cin.ufpe.br/~hfb,s14pJ00AAAAJ,southamerica,br
Hansenclever de F. Bassani,UFPE,https://www.cin.ufpe.br/~hfb,s14pJ00AAAAJ,southamerica,br
Hanseok Ko,Korea University,http://ispl.korea.ac.kr,G9v28v4AAAAJ,asia,kr
Hanspeter Mössenböck,JKU Linz,http://ssw.jku.at/General/Staff/HM,qwnXMU8AAAAJ,europe,at
Hanspeter Pfister,Harvard University,https://www.seas.harvard.edu/directory/pfister,tvBEoaMAAAAJ,north america,us
Hansung Kim 0001,University of Southampton,https://www.ecs.soton.ac.uk/people/hk1f20#publications,frG8WZAAAAAJ,europe,gb
Hantao Liu,Cardiff University,https://www.cardiff.ac.uk/people/view/374951-liu-hantao,JIeS9r4AAAAJ,europe,gb
Hantao Zhang 0001,University of Iowa,https://www.cs.uiowa.edu/~hzhang,NOSCHOLARPAGE,north america,us
Hanumant Singh,Northeastern University,https://www.khoury.northeastern.edu/people/hanumant-singh,1UEU5PEAAAAJ,north america,us
Hanwang Zhang,Nanyang Technological University,https://www3.ntu.edu.sg/home/hanwangzhang,YG0DFyYAAAAJ,asia,sg
Hany Farid,Univ. of California - Berkeley,https://www.ischool.berkeley.edu/people/hany-farid,VEdybxgAAAAJ,north america,us
Hany Girgis,University of Tulsa,https://faculty.utulsa.edu/~/hani-girgis,NOSCHOLARPAGE,north america,us
Hany H. Ammar,West Virginia University,http://community.wvu.edu/~hhammar,-CBlpnQAAAAJ,north america,us
Hanyang Peng,SUSTech,https://faculty.sustech.edu.cn/?p=28816&tagid=yusq&cat=2&iscss=1&snapid=1&orderby=date&lang=en,NOSCHOLARPAGE,asia,cn
Hanzi Wang,Xiamen University,https://pami.xmu.edu.cn/hanzi_cn,NOSCHOLARPAGE,asia,cn
Hao (Richard) Zhang,Simon Fraser University,http://www.cs.sfu.ca/~haoz,NOSCHOLARPAGE,north america,ca
Hao Che,University of Texas at Arlington,http://crystal.uta.edu/~hche,Vyrg19YAAAAJ,north america,us
Hao Chen 0002,Hunan University,http://www.aimlab.org/haochen,NOSCHOLARPAGE,asia,cn
Hao Chen 0003,Univ. of California - Davis,http://web.cs.ucdavis.edu/~hchen,1Aa3qxIAAAAJ,north america,us
Hao Chen 0011,HKUST,https://cse.hkust.edu.hk/~jhc,Z_t5DjwAAAAJ,asia,hk
Hao Dong 0003,Peking University,https://zsdonghao.github.io,xLFL4sMAAAAJ,asia,cn
Hao Huang 0001,Wuhan University,https://cs.whu.edu.cn/info/1019/2467.htm,yBUENP0AAAAJ,asia,cn
Hao Li 0011,Xi'an Jiaotong University,https://aquatoney.github.io,-rpSVLEAAAAJ,asia,cn
Hao Li 0015,MBZUAI,https://mbzuai.ac.ae/study/faculty/hao-li,NFeigSoAAAAJ,asia,ae
Hao Liao,Shenzhen University,https://csse.szu.edu.cn/pages/user/index?id=542,Tu5ZuREAAAAJ,asia,cn
Hao Peng 0001,Beihang University,https://penghao-bdsc.github.io,R25rbyQAAAAJ,asia,cn
Hao Su 0001,Univ. of California - San Diego,https://cseweb.ucsd.edu/~haosu,1P8Zu04AAAAJ,north america,us
Hao Tang 0002,University of Edinburgh,http://www.inf.ed.ac.uk/people/staff/Hao_Tang.html,VN0X-PcAAAAJ,europe,gb
Hao Tang 0005,Peking University,https://ha0tang.github.io,9zJkeEMAAAAJ,asia,cn
Hao Wang 0014,Rutgers University,http://www.wanghao.in,NrOA9QoAAAAJ,north america,us
Hao Wang 0022,Stevens Institute of Technology,https://intellisys.haow.ca/haowang,r-Ik__gAAAAJ,north america,us
Hao Wang 0025,Leiden University,https://www.universiteitleiden.nl/en/staffmembers/hao-wang#tab-2,Pz9c6XwAAAAJ,europe,nl
Hao Wang 0045,ShanghaiTech University,https://sist.shanghaitech.edu.cn/sist_en/2020/0814/c7582a54864/page.htm,FLf8S1QAAAAJ,asia,cn
Hao Wu 0017,Maynooth University,https://classicwuhao.github.io,mUX_GmYAAAAJ,europe,ie
Hao Xu 0012,Jilin University,https://ccst.jlu.edu.cn/info/1367/19077.htm,9KW7Z-oAAAAJ,asia,cn
Hao Yue 0001,Univ. of California - Santa Cruz,https://campusdirectory.ucsc.edu/cd_detail?uid=hyue11,VJKm1NsAAAAJ,north america,us
Hao Zhang 0002,Simon Fraser University,http://www.cs.sfu.ca/~haoz,NOSCHOLARPAGE,north america,ca
Hao Zhang 0011,University of Massachusetts Amherst,https://hcr.cs.umass.edu/people/hzhang,Ug2VxyUAAAAJ,north america,us
Hao Zhang 0025,Univ. of California - San Diego,https://people.eecs.berkeley.edu/~hao,H1d4BS8AAAAJ,north america,us
Hao Zheng 0001,University of South Florida,http://www.csee.usf.edu/~zheng,BT95LeMAAAAJ,north america,us
Hao Zheng 0005,University of Central Florida,http://haozheng.us,NOSCHOLARPAGE,north america,us
Hao Zhong 0001,Shanghai Jiao Tong University,http://www.cs.sjtu.edu.cn/~zhonghao,Vhe3-JsAAAAJ,asia,cn
Hao-Chuan Wang,Univ. of California - Davis,http://www.haochuanwang.info,2cAqDukAAAAJ,north america,us
Haodi Feng,Shandong University,http://www.cs.sdu.edu.cn/info/1112/2723.htm,NOSCHOLARPAGE,asia,cn
Haodi Zhang,Shenzhen University,https://hdzhangust.github.io,Xev_4JMAAAAJ,asia,cn
Haodong Wang,Cleveland State University,http://cis.csuohio.edu/~hwang/publications.html,NOSCHOLARPAGE,north america,us
Haojian Jin,Univ. of California - San Diego,http://haojianj.in,IivlhesAAAAJ,north america,us
Haojin Zhu,Shanghai Jiao Tong University,https://www.cs.sjtu.edu.cn/PeopleDetail.aspx?id=62,_5lzNDUAAAAJ,asia,cn
Haomiao Ni,University of Memphis,https://www.memphis.edu/cs/people/faculty_pages/haomiao-ni.php,3PzBXAsAAAAJ,north america,us
Haomiao Yang,UESTC,https://www.en.scse.uestc.edu.cn/info/1085/2032.htm,NOSCHOLARPAGE,asia,cn
Haonan Lu,University at Buffalo,https://sites.google.com/view/haonanlu/home,HeGT3aoAAAAJ,north america,us
Haopeng Chen,Shanghai Jiao Tong University,http://reins.se.sjtu.edu.cn/~chenhp,DTmwMSUAAAAJ,asia,cn
Haopeng Zhang 0005,University of Hawaii at Manoa,https://hpzhang94.github.io,DT_HlbYAAAAJ,north america,us
Haoqi Zhang,Northwestern University,http://eecs.northwestern.edu/~hq,FaGbxW0AAAAJ,north america,us
Haoqiong Bian,Renmin University of China,https://scholar.google.com/citations?hl=zh-CN&user=pCcoxYUAAAAJ,pCcoxYUAAAAJ,asia,cn
Haotian Jiang,University of Chicago,https://jhtdavid96.wixsite.com/jianghaotian,3mGx0eoAAAAJ,north america,us
Haoxian Chen 0001,ShanghaiTech University,https://faculty.sist.shanghaitech.edu.cn/hxchen,wDMoU3UAAAAJ,asia,cn
Haoyang Wang 0001,Shanghai Jiao Tong University,https://infosec.sjtu.edu.cn/DirectoryDetail.aspx?id=163,1uFgsx4AAAAJ,asia,cn
Haoyao Chen,Harbin Institute of Technology,http://faculty.hitsz.edu.cn/chenhaoyao,NOSCHOLARPAGE,asia,cn
Haoye Tian,Aalto University,https://haoyetiancoder.github.io,HalPbbEAAAAJ,europe,fi
Haoyu Wang 0001,HUST,https://howiepku.github.io,b1Oh6BQAAAAJ,asia,cn
Haoyu Wang 0004,University at Albany - SUNY,https://wanghaoyu0408.github.io,5Lw9_jcAAAAJ,north america,us
Haoyuan Pan,Shenzhen University,https://csse.szu.edu.cn/pages/user/index?id=1024,wkb6AFEAAAAJ,asia,cn
Haoyue Shi 0001,University of Waterloo,https://home.ttic.edu/~freda,jkDd-3QAAAAJ,north america,ca
Harald C. Gall,University of Zurich,http://www.ifi.uzh.ch/seal/people/gall.html,kXX_FYoAAAAJ,europe,ch
Harald F. O. von Korfleisch,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/en/campus-koblenz/fb4/ifm/rgvonkorflesch/Team/korflesch/harald-von-kortzfleisch,NOSCHOLARPAGE,europe,de
Harald F. O. von Korflesch,University of Koblenz-Landau,https://www.uni-koblenz-landau.de/en/campus-koblenz/fb4/ifm/rgvonkorflesch/Team/korflesch/harald-von-kortzfleisch,NOSCHOLARPAGE,europe,de
Harald Kosch,University of Passau,http://www.fim.uni-passau.de/en/distributed-information-systems,WnWkNTsAAAAJ,europe,de
Harald Köstler,University of Erlangen–Nuremberg,https://www.cs10.tf.fau.de/person/harald-koestler,FaKJ6WEAAAAJ,europe,de
Harald Pretl,JKU Linz,http://iic.jku.at/analog/team/pretl,yDlMlR0AAAAJ,europe,at
Harald Reiterer,University of Konstanz,http://hci.uni-konstanz.de/index.php?a=staff&b=Reiterer,nIYeV-wAAAAJ,europe,de
Harald Räcke,TU Munich,http://www.professoren.tum.de/en/raecke-harald,NOSCHOLARPAGE,europe,de
Harald Søndergaard,University of Melbourne,http://findanexpert.unimelb.edu.au/display/person13416,L_DFbBIAAAAJ,australasia,au
Hari Balakrishnan,Massachusetts Institute of Technology,http://nms.lcs.mit.edu/~hari,Qf4bw4UAAAAJ,north america,us
Hari Kalva,Florida Atlantic University,http://www.eng.fau.edu/directory/faculty/kalva,FO1NbXUAAAAJ,north america,us
Hari Prabhat Gupta,IIT (BHU) Varanasi,http://www.iitbhu.ac.in/cse/index.php/people/faculty.html,KrMWWjUAAAAJ,asia,in
Hari Subramoni,Ohio State University,https://web.cse.ohio-state.edu/~subramoni.1,ykYaLmAAAAAJ,north america,us
Hari Sundar,Tufts University,https://engineering.tufts.edu/cs/people/faculty/hari-sundar,equOxc0AAAAJ,north america,us
Hari Sundaram,Univ. of Illinois at Urbana-Champaign,http://sundaram.cs.illinois.edu,Z962IGQAAAAJ,north america,us
Haribabu Kotakula,BITS Pilani,http://www.bits-pilani.ac.in/pilani/khari/profile,E-yshlwAAAAJ,asia,in
Haridimos Kondylakis,University of Crete,https://users.ics.forth.gr/~kondylak,-xDtoxYAAAAJ,europe,gr
Hariharan Narayanan,Tata Inst. of Fundamental Research,http://www.tifr.res.in/~hariharan.narayanan,NOSCHOLARPAGE,asia,in
Harikrishnan N. B.,BITS Pilani-Goa,https://sites.google.com/site/harikrishnannb8/home,9fMmKMEAAAAJ,asia,in
Harikrishnan Nellippallil Balakrishnan,BITS Pilani-Goa,https://sites.google.com/site/harikrishnannb8/home,9fMmKMEAAAAJ,asia,in
Harini Suresh,Brown University,https://harinisuresh.com,X2FD1j8AAAAJ,north america,us
Haris Aziz 0001,UNSW,https://research.unsw.edu.au/people/dr-haris-aziz,ssb0yjUAAAAJ,australasia,au
Haris Bin Pervaiz,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/haris-bin-pervaiz,QvgEF8sAAAAJ,europe,gb
Haris Ch. Doukas,NTUA,https://www.ece.ntua.gr/en/staff/187,4TieQ1IAAAAJ,europe,gr
Haris E. Psillakis,NTUA,http://users.ntua.gr/hpsilakis,iwioPgUAAAAJ,europe,gr
Haris Pervaiz,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/haris-bin-pervaiz,QvgEF8sAAAAJ,europe,gb
Harish Chaandar Ravichandar,Georgia Institute of Technology,https://www.cc.gatech.edu/people/harish-ravichandar,d2HP6SMAAAAJ,north america,us
Harish G. Ramaswamy,IIT Madras,https://sites.google.com/site/harishguruprasad,NOSCHOLARPAGE,asia,in
Harish Guruprasad Ramaswamy,IIT Madras,https://sites.google.com/site/harishguruprasad,NOSCHOLARPAGE,asia,in
Harish Karnick,IIT Kanpur,http://www.iitk.ac.in/new/dr-harish-karnick,NOSCHOLARPAGE,asia,in
Harish Ravichandar,Georgia Institute of Technology,https://www.cc.gatech.edu/people/harish-ravichandar,d2HP6SMAAAAJ,north america,us
Harjinder Rahanu,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/rahanu-harjinder,NOSCHOLARPAGE,europe,gb
Harkeerat Kaur,IIT Jammu,https://www.iitjammu.ac.in/computer_science_engineering/faculty-list/~harkeeratkaur,Mt1kwb0AAAAJ,asia,in
Harley D. Eades III,Augusta University,https://metatheorem.org,Nbb0YZEAAAAJ,north america,us
Harley Eades III,Augusta University,https://metatheorem.org,Nbb0YZEAAAAJ,north america,us
Harlin Lee,University of North Carolina,https://harlinlee.github.io,AJhx0YgAAAAJ,north america,us
Harm Griffioen,TU Delft,https://harmgriffioen.github.io,fbUtrQcAAAAJ,europe,nl
Harm J. Griffioen,TU Delft,https://harmgriffioen.github.io,fbUtrQcAAAAJ,europe,nl
Harm Van Zalinge,University of Liverpool,https://liverpool.ac.uk/electrical-engineering-and-electronics/staff/harm-van-zalinge,NOSCHOLARPAGE,europe,gb
Harmanpreet Kaur,University of Minnesota,https://harmanpk.github.io,14sDLCsAAAAJ,north america,us
Harold Abelson,Massachusetts Institute of Technology,http://groups.csail.mit.edu/mac/users/hal/hal.html,NOSCHOLARPAGE,north america,us
Harold Castro,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/hcastro/es/inicio,vjnqZo8AAAAJ,southamerica,co
Harold E. Castro,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/hcastro/es/inicio,vjnqZo8AAAAJ,southamerica,co
Harold Enrique Castro Barrera,Universidad de los Andes,https://profesores.virtual.uniandes.edu.co/hcastro/es/inicio,vjnqZo8AAAAJ,southamerica,co
Harold S. Connamacher,Case Western Reserve University,http://filer.case.edu/hsc21,NOSCHOLARPAGE,north america,us
Harold Soh,National University of Singapore,https://haroldsoh.com,lkgd1BsAAAAJ,asia,sg
Harold T. Wareham,Memorial University of Newfoundland,https://www.mun.ca/computerscience/people/harold.php,NOSCHOLARPAGE,north america,ca
Harri Lähdesmäki,Aalto University,https://users.ics.aalto.fi/harrila,NOSCHOLARPAGE,europe,fi
Harrie Oosterhuis,Radboud University,https://harrieo.github.io,e9JynrAAAAAJ,europe,nl
Harrison Goldstein,University at Buffalo,https://cse.buffalo.edu/~hgoldste,CYSX6tgAAAAJ,north america,us
Harry Buhrman,CWI,https://www.cwi.nl/people/552,wlOytxsAAAAJ,europe,nl
Harry Cheng 0001,Univ. of California - Davis,https://faculty.engineering.ucdavis.edu/cheng,NOSCHOLARPAGE,north america,us
Harry G. Mairson,Brandeis University,http://www.cs.brandeis.edu/~mairson,NOSCHOLARPAGE,north america,us
Harry G. Perros,North Carolina State University,http://www4.ncsu.edu/~hp,NOSCHOLARPAGE,north america,us
Harry H. Cheng,Univ. of California - Davis,https://faculty.engineering.ucdavis.edu/cheng,NOSCHOLARPAGE,north america,us
Harry R. Lewis,Harvard University,http://lewis.seas.harvard.edu,NOSCHOLARPAGE,north america,us
Harry S. Delugach,University of Alabama - Huntsville,https://www.uah.edu/science/departments/computer-science/faculty-staff/harry-delugach,NOSCHOLARPAGE,north america,us
Harry Xu 0001,Univ. of California - Los Angeles,http://www.cs.ucla.edu/~harryxu,DS6rCasAAAAJ,north america,us
Harsh Beohar,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/harsh-beohar,b1C8fogAAAAJ,europe,gb
Harsha Chenji,Ohio University,http://ace.eecs.ohiou.edu/~chenji,DdiZCHoAAAAJ,north america,us
Harsha V. Madhyastha,University of Southern California,https://www.harsha.usc.edu,kxDm9EsAAAAJ,north america,us
Harshavardhan Chenji,Ohio University,http://ace.eecs.ohiou.edu/~chenji,DdiZCHoAAAAJ,north america,us
Hartmut Geyer,Carnegie Mellon University,https://www.cs.cmu.edu/~hgeyer,aC5315UAAAAJ,north america,us
Hartmut Kaiser,Louisiana State University,https://teaching.hkaiser.org,Gsgw2MIAAAAJ,north america,us
Hartmut Prautzsch,Karlsruhe Institute of Technology,http://geom.ivd.kit.edu/mitarbeiter_88.php,NOSCHOLARPAGE,europe,de
Haruhiko Kaneko,Tokyo Institute of Technology,http://kaneko-www.cs.titech.ac.jp,i9He6RYAAAAJ,asia,jp
Harun Artuner,Hacettepe University,http://yunus.hacettepe.edu.tr/~artuner,ImqfMJcAAAAJ,europe,tr
Haruo Takemura,Osaka University,https://www.ist.osaka-u.ac.jp/english/introduction/professors/information-systems-engineering/integrated-media-environment/haruo-takemura.html,iiYmQ9YAAAAJ,asia,jp
Haruo Yokota,Tokyo Institute of Technology,http://yokota-www.cs.titech.ac.jp/index.html.en,Ay2F2N0AAAAJ,asia,jp
Harvey P. Siy,University of Nebraska - Omaha,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/harvey-siy.php,NOSCHOLARPAGE,north america,us
Haryadi S. Gunawi,University of Chicago,http://people.cs.uchicago.edu/~haryadi,TBaBNdkAAAAJ,north america,us
Hasan Davulcu,Arizona State University,http://www.public.asu.edu/~hdavulcu,P9IivpwAAAAJ,north america,us
Hasan H. Balik,Yıldız Technical University,https://www.ce.yildiz.edu.tr/personal/hasan?lang=en,tcdtSbIAAAAJ,europe,tr
